,name,latitude,longitude,city,region,cuisine,url,stars,min_price_EUR,max_price_EUR
72,Shibumi,34.044154999999996,-118.256134,Los Angeles,California,Japanese,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/shibumi559644,1,67.97258620283382,135.94517240566765
73,Hayato,34.03311,-118.24265,Los Angeles,California,Japanese,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/hayato,1,67.97258620283382,135.94517240566765
74,Bistro Na's,34.104411999999996,-118.07158999999999,Los Angeles,California,Chinese,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/bistro-na-s,1,22.657528734277943,45.315057468555885
75,Orsa & Winston,33.92145,-118.275406,Los Angeles,California,Fusion,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/orsa-winston,1,67.97258620283382,135.94517240566765
76,Taco María,33.69475,-117.92496499999999,Costa Mesa,California,Mexican,https://guide.michelin.com/us/en/california/us-costa-mesa/restaurant/taco-maria,1,45.315057468555885,67.97258620283382
77,Hana re,33.67759,-117.88656599999999,Costa Mesa,California,Japanese,https://guide.michelin.com/us/en/california/us-costa-mesa/restaurant/hana-re,1,67.97258620283382,135.94517240566765
78,Addison,32.939903,-117.20013,San Diego,California,Contemporary,https://guide.michelin.com/us/en/california/us-san-diego/restaurant/addison,1,67.97258620283382,135.94517240566765
79,Parachute,41.944829999999996,-87.70638000000001,Chicago,Chicago,Fusion,https://guide.michelin.com/us/en/illinois/chicago/restaurant/parachute,1,45.315057468555885,67.97258620283382
80,Goosefoot,41.96856,-87.69596,Chicago,Chicago,Contemporary,https://guide.michelin.com/us/en/illinois/chicago/restaurant/goosefoot,1,67.97258620283382,135.94517240566765
81,Elizabeth,41.969555,-87.68873599999999,Chicago,Chicago,Contemporary,https://guide.michelin.com/us/en/illinois/chicago/restaurant/elizabeth,1,67.97258620283382,135.94517240566765
82,EL Ideas,41.863,-87.68686,Chicago,Chicago,Contemporary,https://guide.michelin.com/us/en/illinois/chicago/restaurant/el-ideas,1,67.97258620283382,135.94517240566765
83,Band of Bohemia,41.967308,-87.67477,Chicago,Chicago,Gastropub,https://guide.michelin.com/us/en/illinois/chicago/restaurant/band-of-bohemia,1,45.315057468555885,67.97258620283382
84,Schwa,41.908879999999996,-87.66792,Chicago,Chicago,Contemporary,https://guide.michelin.com/us/en/illinois/chicago/restaurant/schwa,1,72.50409194968941,135.94517240566765
85,Temporis,41.898907,-87.66725,Chicago,Chicago,Contemporary,https://guide.michelin.com/us/en/illinois/chicago/restaurant/temporis,1,67.97258620283382,135.94517240566765
86,Entente,41.93721,-87.6652,Chicago,Chicago,Contemporary,https://guide.michelin.com/us/en/illinois/chicago/restaurant/entente,1,54.37806896226706,117.81914941824529
87,Elske,41.884426,-87.66071,Chicago,Chicago,Contemporary,https://guide.michelin.com/us/en/illinois/chicago/restaurant/elske,1,67.97258620283382,135.94517240566765
88,Dusek's (Board & Beer),41.857853000000006,-87.65756999999999,Chicago,Chicago,Gastropub,https://guide.michelin.com/us/en/illinois/chicago/restaurant/dusek-s-board-beer,1,27.18903448113353,51.659165514153706
89,Roister,41.886658000000004,-87.65187,Chicago,Chicago,Contemporary,https://guide.michelin.com/us/en/illinois/chicago/restaurant/roister,1,27.18903448113353,120.53805286635865
90,Boka,41.91363,-87.64806,Chicago,Chicago,Contemporary,https://guide.michelin.com/us/en/illinois/chicago/restaurant/boka,1,45.315057468555885,67.97258620283382
